gene_reaction_rule_source	gene_reaction_rule_sink
locustag:STM1195	locustag:STM1067
locustag:STM1195	locustag:STM0227
locustag:STM1195	locustag:STM0226
locustag:STM0320	locustag:STM4403
locustag:STM0999	locustag:STM4403
locustag:STM1473	locustag:STM4403
locustag:STM2267	locustag:STM4403
locustag:STM2037	locustag:STM2040
locustag:STM2037	locustag:STM2041
locustag:STM2037	locustag:STM2042
locustag:STM2037	locustag:STM2043
locustag:STM2037	locustag:STM2044
locustag:STM0320	locustag:STM1954
locustag:STM0999	locustag:STM1954
locustag:STM1473	locustag:STM1954
locustag:STM2267	locustag:STM1954
locustag:STM0320	locustag:STM2793
locustag:STM0999	locustag:STM2793
locustag:STM1473	locustag:STM2793
locustag:STM2267	locustag:STM2793
locustag:s0001	locustag:STM3680
locustag:STM0320	locustag:STM2433
locustag:STM0320	locustag:STM1203
locustag:STM0320	locustag:STM2431
locustag:STM0320	locustag:STM2432
locustag:STM0320	locustag:STM0685
locustag:STM0999	locustag:STM2433
locustag:STM0999	locustag:STM1203
locustag:STM0999	locustag:STM2431
locustag:STM0999	locustag:STM2432
locustag:STM0999	locustag:STM0685
locustag:STM1473	locustag:STM2433
locustag:STM1473	locustag:STM1203
locustag:STM1473	locustag:STM2431
locustag:STM1473	locustag:STM2432
locustag:STM1473	locustag:STM0685
locustag:STM2267	locustag:STM2433
locustag:STM2267	locustag:STM1203
locustag:STM2267	locustag:STM2431
locustag:STM2267	locustag:STM2432
locustag:STM2267	locustag:STM0685
locustag:STM2267	locustag:STM1830
locustag:STM2267	locustag:STM1831
locustag:STM2267	locustag:STM1832
locustag:STM0320	locustag:STM1830
locustag:STM0320	locustag:STM1831
locustag:STM0320	locustag:STM1832
locustag:STM0999	locustag:STM1830
locustag:STM0999	locustag:STM1831
locustag:STM0999	locustag:STM1832
locustag:STM1473	locustag:STM1830
locustag:STM1473	locustag:STM1831
locustag:STM1473	locustag:STM1832
locustag:STM0999	locustag:STM3338
locustag:STM2267	locustag:STM3338
locustag:STM0320	locustag:STM2927
locustag:STM0999	locustag:STM2927
locustag:STM1473	locustag:STM2927
locustag:STM2267	locustag:STM2927
locustag:STM1196	locustag:STM2378
locustag:STM1196	locustag:STM1197
locustag:STM1193	locustag:STM2378
locustag:STM1193	locustag:STM1197
locustag:STM0158	locustag:STM4184
locustag:STM1712	locustag:STM4184
locustag:STM3468	locustag:STM4120
locustag:STM1303	locustag:STM4120
locustag:STM0320	locustag:STM1679
locustag:STM0320	locustag:STM1745
locustag:STM0320	locustag:STM1744
locustag:STM0320	locustag:STM1743
locustag:STM0320	locustag:STM1742
locustag:STM0999	locustag:STM1679
locustag:STM0999	locustag:STM1745
locustag:STM0999	locustag:STM1744
locustag:STM0999	locustag:STM1743
locustag:STM0999	locustag:STM1742
locustag:STM1473	locustag:STM1679
locustag:STM1473	locustag:STM1745
locustag:STM1473	locustag:STM1744
locustag:STM1473	locustag:STM1743
locustag:STM1473	locustag:STM1742
locustag:STM2267	locustag:STM1679
locustag:STM2267	locustag:STM1745
locustag:STM2267	locustag:STM1744
locustag:STM2267	locustag:STM1743
locustag:STM2267	locustag:STM1742
locustag:STM2421	locustag:STM0488
locustag:STM2421	locustag:STM0051
locustag:STM2421	locustag:STM1463
locustag:STM0413	locustag:STM3113
locustag:STM0413	locustag:STM2409
locustag:STM0320	locustag:STM4273
locustag:STM0999	locustag:STM4273
locustag:STM1473	locustag:STM4273
locustag:STM2267	locustag:STM4273
locustag:STM3747	locustag:STM0483
locustag:STM0522	locustag:STM0523
locustag:STM0320	locustag:STM1746_S
locustag:STM0999	locustag:STM1746_S
locustag:STM1473	locustag:STM1746_S
locustag:STM2267	locustag:STM1746_S
locustag:STM4483	locustag:STM4485
locustag:STM4483	locustag:STM3542
locustag:STM3337	locustag:STM0683
locustag:STM0793	locustag:STM0797
locustag:STM0793	locustag:STM1489
locustag:STM4482	locustag:STM4484
locustag:STM0999	locustag:STM0494
locustag:STM0999	locustag:STM4249
locustag:STM1473	locustag:STM0494
locustag:STM1473	locustag:STM4249
locustag:STM2267	locustag:STM0494
locustag:STM2267	locustag:STM4249
locustag:STM0320	locustag:STM0494
locustag:STM0320	locustag:STM4249
locustag:STM0320	locustag:STM0444
locustag:STM0999	locustag:STM0444
locustag:STM1473	locustag:STM0444
locustag:STM2267	locustag:STM0444
locustag:STM2838_S	locustag:STM1772
locustag:STM3315	locustag:STM1772
locustag:STM0102	locustag:STM0103
locustag:STM0320	locustag:STM3630
locustag:STM0320	locustag:STM3629
locustag:STM0320	locustag:STM3628
locustag:STM0320	locustag:STM3627
locustag:STM0320	locustag:STM3626
locustag:STM0999	locustag:STM3630
locustag:STM0999	locustag:STM3629
locustag:STM0999	locustag:STM3628
locustag:STM0999	locustag:STM3627
locustag:STM0999	locustag:STM3626
locustag:STM1473	locustag:STM3630
locustag:STM1473	locustag:STM3629
locustag:STM1473	locustag:STM3628
locustag:STM1473	locustag:STM3627
locustag:STM1473	locustag:STM3626
locustag:STM2267	locustag:STM3630
locustag:STM2267	locustag:STM3629
locustag:STM2267	locustag:STM3628
locustag:STM2267	locustag:STM3627
locustag:STM2267	locustag:STM3626
locustag:STM0320	locustag:STM1599
locustag:STM0999	locustag:STM1599
locustag:STM1473	locustag:STM1599
locustag:STM2267	locustag:STM1599
locustag:STM1681	locustag:STM0316
locustag:STM4247	locustag:STM0380
locustag:STM4247	locustag:STM0130
locustag:STM1802	locustag:STM0380
locustag:STM1802	locustag:STM0130
locustag:STM4247	locustag:STM2555
locustag:STM4247	locustag:STM0934
locustag:STM1802	locustag:STM2555
locustag:STM1802	locustag:STM0934
locustag:STM4247	locustag:STM1803
locustag:STM1802	locustag:STM1803
locustag:STM3016	locustag:STM1522
locustag:STM1477	locustag:STM2355
locustag:STM1477	locustag:STM2352
locustag:STM1477	locustag:STM2351
locustag:STM1477	locustag:STM2353
locustag:STM0320	locustag:STM3560
locustag:STM0320	locustag:STM3561
locustag:STM0320	locustag:STM3563
locustag:STM0320	locustag:STM3567
locustag:STM0320	locustag:STM3562
locustag:STM0999	locustag:STM3560
locustag:STM0999	locustag:STM3561
locustag:STM0999	locustag:STM3563
locustag:STM0999	locustag:STM3567
locustag:STM0999	locustag:STM3562
locustag:STM1473	locustag:STM3560
locustag:STM1473	locustag:STM3561
locustag:STM1473	locustag:STM3563
locustag:STM1473	locustag:STM3567
locustag:STM1473	locustag:STM3562
locustag:STM2267	locustag:STM3560
locustag:STM2267	locustag:STM3561
locustag:STM2267	locustag:STM3563
locustag:STM2267	locustag:STM3567
locustag:STM2267	locustag:STM3562
locustag:STM0320	locustag:STM4398
locustag:STM0999	locustag:STM4398
locustag:STM1473	locustag:STM4398
locustag:STM2267	locustag:STM4398
locustag:STM0320	locustag:STM0006
locustag:STM0999	locustag:STM0006
locustag:STM1473	locustag:STM0006
locustag:STM2267	locustag:STM0006
locustag:STM0320	locustag:STM3086
locustag:STM0999	locustag:STM3086
locustag:STM1473	locustag:STM3086
locustag:STM2267	locustag:STM3086
locustag:STM0320	locustag:STM2355
locustag:STM0320	locustag:STM2352
locustag:STM0320	locustag:STM2351
locustag:STM0320	locustag:STM2353
locustag:STM0320	locustag:STM0890
locustag:STM0320	locustag:STM0887
locustag:STM0320	locustag:STM0888
locustag:STM0320	locustag:STM0891
locustag:STM0320	locustag:STM0889
locustag:STM0999	locustag:STM2355
locustag:STM0999	locustag:STM2352
locustag:STM0999	locustag:STM2351
locustag:STM0999	locustag:STM2353
locustag:STM0999	locustag:STM0890
locustag:STM0999	locustag:STM0887
locustag:STM0999	locustag:STM0888
locustag:STM0999	locustag:STM0891
locustag:STM0999	locustag:STM0889
locustag:STM1473	locustag:STM2355
locustag:STM1473	locustag:STM2352
locustag:STM1473	locustag:STM2351
locustag:STM1473	locustag:STM2353
locustag:STM1473	locustag:STM0890
locustag:STM1473	locustag:STM0887
locustag:STM1473	locustag:STM0888
locustag:STM1473	locustag:STM0891
locustag:STM1473	locustag:STM0889
locustag:STM2267	locustag:STM2355
locustag:STM2267	locustag:STM2352
locustag:STM2267	locustag:STM2351
locustag:STM2267	locustag:STM2353
locustag:STM2267	locustag:STM0890
locustag:STM2267	locustag:STM0887
locustag:STM2267	locustag:STM0888
locustag:STM2267	locustag:STM0891
locustag:STM2267	locustag:STM0889
locustag:STM0320	locustag:STM4385
locustag:STM0320	locustag:STM4384
locustag:STM0320	locustag:STM4383_S
locustag:STM0999	locustag:STM4385
locustag:STM0999	locustag:STM4384
locustag:STM0999	locustag:STM4383_S
locustag:STM1473	locustag:STM4385
locustag:STM1473	locustag:STM4384
locustag:STM1473	locustag:STM4383_S
locustag:STM2267	locustag:STM4385
locustag:STM2267	locustag:STM4384
locustag:STM2267	locustag:STM4383_S
locustag:STM1584	locustag:STM1294
locustag:STM1584	locustag:STM0847
locustag:STM1584	locustag:STM3598
locustag:STM1584	locustag:STM1000
locustag:STM0320	locustag:STM3106
locustag:STM0999	locustag:STM3106
locustag:STM1473	locustag:STM3106
locustag:STM2267	locustag:STM3106
locustag:STM0320	locustag:STM2162
locustag:STM0320	locustag:STM2163
locustag:STM0320	locustag:STM2164
locustag:STM0320	locustag:STM2165
locustag:STM0999	locustag:STM2162
locustag:STM0999	locustag:STM2163
locustag:STM0999	locustag:STM2164
locustag:STM0999	locustag:STM2165
locustag:STM1473	locustag:STM2162
locustag:STM1473	locustag:STM2163
locustag:STM1473	locustag:STM2164
locustag:STM1473	locustag:STM2165
locustag:STM2267	locustag:STM2162
locustag:STM2267	locustag:STM2163
locustag:STM2267	locustag:STM2164
locustag:STM2267	locustag:STM2165
locustag:STM0320	locustag:STM0665
locustag:STM0320	locustag:STM0664
locustag:STM0320	locustag:STM0663
locustag:STM0320	locustag:STM0662
locustag:STM0999	locustag:STM0665
locustag:STM0999	locustag:STM0664
locustag:STM0999	locustag:STM0663
locustag:STM0999	locustag:STM0662
locustag:STM1473	locustag:STM0665
