# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Bovismorbificans_CVM_30176	ECOLI	SALTY
4279	0	4098
4227	0	2423
4288	0	3353
4246	2507	2422
3753	0	2424
3760	2388	2441
3846	3022	3213
1335	858	962
1486	3746	3995
4101	0	3562
779	3745	3994
4131	824	929
3563	950	1078
4106	1333	1582
4120	2426	2474
3505	543	574
98	1151	1702
4099	3054	3252
4226	3976	4243
4109	3774	4025
4079	2659	2885
3878	3322	3488
4068	1298	1592
4112	0	2675
3454	178	230
3574	1043	1168
2165	2661	2887
540	429	467
4117	3917	4183
2623	32	66
0	1384	1518
2639	426	464
4067	1013	1138
3467	0	340
2968	2336	2390
3476	362	384
3859	3073	3274
3253	1387	1511
4272	3663	3889
3603	0	1330
4075	1964	2053
3599	1592	1312
3696	1965	2054
3629	0	1535
4260	0	347
3694	1954	2049
0	4088	4357
3421	0	19
2592	56	95
3801	2660	2886
3323	25	46
1009	4009	4307
1997	2097	2188
3812	2733	2942
3898	1126	3627
2764	667	715
901	3814	4091
4180	1276	2541
3830	2871	3089
749	3632	3851
2942	0	3643
2872	0	4365
561	2628	2853
3730	2160	2240
2063	3217	3389
2058	95	135
3900	0	3633
4023	161	213
4043	0	1339
13	109	151
2102	3995	4288
836	1163	1690
3004	3325	3491
3396	1201	1653
619	3280	3458
3350	2095	2186
2337	3723	3971
3450	660	195
3904	929	3698
412	2980	3172
3521	639	682
4175	0	998
3766	2454	2560
3422	874	23
1206	1197	1655
3037	2108	2189
2705	597	634
137	2539	2722
3556	866	1013
3640	1302	1587
2414	979	1104
808	3583	3797
3402	933	3694
3179	1741	1787
1512	3195	3367
4224	113	157
2338	2575	2804
4161	491	535
3862	3165	3349
3881	0	3510
2090	144	189
2886	2458	2565
1734	2085	2177
4124	2955	4421
3444	0	174
2162	1993	2075
3466	0	327
4118	3715	3963
4298	1491	1441
3625	0	1500
3545	828	933
2301	3224	3406
3808	0	2919
3612	1492	1440
3486	448	487
224	3935	4201
2232	209	301
2971	2	2
591	758	814
3952	3796	4072
3376	530	0
210	3489	3707
1652	53	92
3462	0	293
4123	3026	4400
4264	0	2439
3443	119	168
3937	3708	3954
3597	1607	1297
3270	3342	3516
3868	3216	3388
3487	460	497
4061	143	188
2908	171	223
1508	1618	1286
3963	0	4142
3683	0	1992
4146	57	96
2967	0	4048
2473	404	440
4297	0	2165
3845	3020	3211
3075	837	941
1627	3208	3380
3241	3873	4133
459	3718	3966
3836	2929	3128
3759	2387	2440
4107	847	951
2488	2111	2194
2264	3206	3378
4122	4097	4372
3508	0	597
4077	2014	2092
3409	3324	3490
3682	0	1991
876	2329	2381
3503	540	571
3917	3605	3822
2128	817	916
3592	1636	1266
3827	2837	3062
704	2626	2851
3074	636	680
298	3228	3410
2196	2668	2894
3751	2371	2412
3781	2554	2737
2998	2834	3056
245	0	342
3447	145	190
3740	2266	2326
3537	743	798
3755	0	2426
2558	3888	2468
3936	3703	3948
956	3590	3808
335	3710	3959
27	1031	1156
3261	3835	4122
4216	3990	4285
4150	0	2678
2851	734	793
3919	3620	3840
2180	894	1029
2043	2675	2901
3865	3197	3369
944	4092	4363
3769	0	2594
1661	3784	4062
4129	3442	3613
382	3139	3322
4046	3830	4118
4138	2524	2707
3698	0	2060
4158	2174	2255
2517	882	1017
3628	1370	1528
3693	1947	2042
3320	2976	3168
727	0	18
788	3158	3342
3874	3263	3448
2406	555	586
674	2216	2305
4182	2792	3003
3624	0	1499
1233	2369	2410
2625	0	353
3630	0	1536
4130	3215	3387
3857	0	3271
3426	0	41
3924	3647	3871
3658	1752	1818
47	3444	3615
377	2573	2754
1	1787	1852
903	0	4099
1114	396	432
598	1998	2080
3886	3351	3526
3559	896	1031
4303	1448	1454
2900	3559	3775
4028	1551	1386
2530	1737	1783
1686	3364	3535
2114	0	2791
4088	0	2777
2955	0	1361
3840	2958	3150
487	3316	3482
116	714	770
3406	3227	3409
3023	2766	2975
3749	2331	2383
1160	2036	2125
300	2763	2965
4287	1535	1402
3834	2898	3106
1516	0	2313
3449	148	193
4073	2201	2296
4223	641	684
4010	1211	1644
1199	3049	3247
3632	1353	1545
4057	1796	1860
2498	2334	2388
3956	3825	4112
3891	0	3550
1042	2277	2337
3722	2131	2216
2073	0	346
3750	2342	2394
3271	4129	4410
4167	1687	1233
2889	1667	1246
3594	1624	1281
386	814	913
1358	3968	4236
2911	3060	3258
2568	2988	3180
2974	3321	3487
2269	2075	3686
3644	1213	1643
2364	623	664
2410	0	638
200	0	83
4070	0	1609
3513	590	626
3499	0	556
0	3448	3620
395	1714	1759
3484	434	473
3472	307	360
597	2848	3069
1185	3532	3745
4194	3391	3556
1454	3152	3335
1210	13	12
3945	3753	4005
3557	883	1018
4098	0	4281
99	2811	3027
2611	764	819
1816	2973	3166
313	3538	3751
20	385	411
439	0	1849
3161	437	476
0	3290	3466
3140	2885	3099
2221	406	442
1361	3733	3981
2231	0	1069
2624	3554	3767
2449	2155	2235
3196	3598	3815
2961	1670	1243
3892	3383	3553
2941	1951	2046
843	0	1480
1309	2059	2141
0	180	233
3415	46	85
3649	906	1725
1131	1149	1704
3731	2163	2243
1332	3640	3861
2791	3912	4179
3553	859	963
2049	0	3951
1603	2644	2869
2481	1758	1824
2131	373	396
3067	1818	1881
3439	110	152
1763	2439	2492
852	3520	3732
765	2070	2153
3343	3926	4192
475	2658	2884
2346	2169	2250
1338	2066	2148
4230	2565	2746
3477	368	390
3762	2394	2448
1721	665	713
3455	0	232
3489	467	506
2651	3771	4022
3908	0	3731
4229	3150	3333
3395	0	1969
2788	3722	3970
4115	889	1024
3728	2147	2232
4017	413	450
2093	2884	3098
2950	414	451
1281	848	952
4232	81	121
2413	821	926
4084	0	3010
1618	0	1774
3548	839	943
3062	2563	2744
4266	0	1333
3703	2015	2093
2956	1774	1840
2609	3975	4242
3348	75	115
3424	0	32
242	2817	3035
3786	0	2780
3059	729	789
227	4039	3403
2980	3337	3507
4147	1784	1848
1080	1392	1507
1841	806	906
4328	0	1501
2606	1856	1919
1429	2282	2342
862	1115	1739
3792	2606	2843
1835	2722	2931
2962	189	240
508	3463	3666
587	3329	3496
3055	624	665
2184	60	102
2322	0	829
2898	410	446
677	2335	2389
3872	3241	3423
2129	3311	3475
1676	1711	1756
1405	1121	1734
3897	3447	3619
3425	0	38
4241	0	1415
2608	2691	2771
2727	0	1046
1930	0	2793
357	2141	2226
859	618	659
3015	1839	1903
4233	0	3235
4255	0	1935
1504	0	1936
3544	820	925
938	3496	3714
4029	1343	1563
474	3991	4286
2367	782	841
2951	0	1966
3433	66	108
2913	3439	3610
3701	2007	2085
207	3892	4159
133	4128	4409
565	3611	3829
4063	3201	3373
360	1606	1298
3960	3870	4130
2009	2480	2588
2095	4093	4364
434	845	949
3148	1165	1687
2441	3396	3563
4215	1221	1632
1762	3780	4058
3517	605	645
291	1011	1136
1378	811	910
2164	3270	1204
2163	118	167
2759	0	2321
1044	885	1020
659	2622	2848
3031	3475	3679
3473	0	362
1507	444	483
3543	808	908
874	2867	3087
3723	2133	2218
107	3878	4137
3610	1517	1411
2107	0	2773
3910	0	3764
1946	2048	2130
2238	633	677
4100	3336	3503
2392	1130	1719
1893	3823	4110
1015	2090	2181
3512	576	611
1956	2117	2201
2293	2444	2550
4019	0	53
3824	0	3040
2973	3202	3374
2842	1255	1619
987	3821	4106
1611	3899	4166
4172	3943	4210
1760	0	3449
3493	477	518
1270	442	481
1152	1794	1858
3440	112	156
2193	3775	4026
2482	3769	4020
1525	3881	4141
4026	1721	1765
3791	2605	2842
1799	0	1054
533	4111	4388
4262	0	4331
346	1420	3925
558	0	3476
2204	755	809
2866	551	582
2778	3765	4017
3955	3817	4101
1563	1383	1519
2013	674	719
430	2375	2419
2826	3327	3494
1692	1186	1665
2524	750	805
1084	1950	2045
778	0	33
4166	64	106
4105	1340	1567
580	1112	1742
1399	2535	2718
3469	303	356
624	2062	2144
1136	0	3103
4210	2941	3136
3251	978	1103
3166	1152	1701
3436	72	112
3430	36	70
1755	39	73
2195	2058	2140
2023	564	595
2113	2154	2234
781	911	1730
2617	2370	2411
358	3405	3575
1624	2427	2476
3639	0	1578
2795	1187	1664
2888	1249	1623
555	3381	3551
1941	612	652
3106	3555	3768
1557	1599	1305
3764	3890	2466
2580	4117	4394
2834	0	1698
1450	0	4041
3951	3789	4065
1134	0	1486
449	155	207
9	2720	2929
4102	421	457
2752	3525	3738
3539	765	820
1971	0	3957
3211	998	1123
1017	1722	1766
993	1110	1744
853	2189	2279
2219	3923	4189
3432	59	101
1249	2030	2115
1492	0	60
1470	0	856
1071	3223	3399
3733	2175	2256
981	4011	4309
2728	1422	3927
2856	1508	1421
1130	0	3014
3164	3694	3939
461	3914	4181
4321	2533	2715
4185	1411	35
1981	1092	332
2424	1690	1231
2357	951	1079
4008	1540	1397
3511	572	607
4189	1588	1317
288	2889	3104
1081	0	4254
3636	0	1564
1682	0	1049
2096	3866	4127
3531	0	763
869	3617	3835
837	1759	1825
2717	3319	3485
3555	0	2518
1445	3472	1082
953	0	2688
2054	3285	3461
2152	3537	3750
3665	1832	1897
867	3540	3753
150	3549	3762
2380	2981	3173
2402	651	689
1719	82	122
2245	976	1101
78	3557	3772
3671	0	1945
1664	1519	1409
1955	1372	1525
640	1171	1680
2531	3460	3659
378	3055	3253
3851	3033	3221
776	0	1341
3296	4066	3024
1246	2037	2126
3620	319	1488
942	0	2972
1600	286	1057
2382	1058	1182
747	2379	2428
1033	1875	1937
310	3826	4114
177	569	604
3810	2731	2940
2525	3560	3776
2546	88	128
1954	3887	2469
3778	2551	2734
3338	1650	1253
1163	2362	2403
3613	1452	1450
803	3357	3531
3929	3673	3900
3401	0	427
3902	0	3651
620	2582	2808
3077	221	307
334	3787	4251
2666	650	688
174	1933	2028
4022	3288	3464
1387	1936	2031
2158	2376	2420
3667	1877	1940
1268	3623	3843
4168	0	1515
28	1147	1706
211	1405	2276
3890	3373	3545
3529	695	751
1546	2269	2329
675	1897	1993
4218	1292	1006
208	3895	4162
2958	625	666
2809	3225	3407
1823	3012	3203
3124	616	656
1970	0	2817
1503	388	414
2597	3258	3443
1616	0	4050
1685	1357	1539
895	3608	3826
3317	2425	2473
2503	3836	2098
261	1804	1867
31	2835	3060
3516	604	644
3729	2153	2233
3843	2992	3184
3412	1306	3017
2703	1861	1924
977	0	349
618	3545	3758
1129	1030	1155
239	3023	3214
2991	3639	3859
3341	2909	3025
900	0	148
270	1761	1827
3976	0	4252
2613	3729	3977
4225	0	4146
709	3963	4231
3546	833	937
4231	0	2278
988	3949	4216
1596	0	3141
3014	0	1497
711	0	670
759	2680	2907
4245	2853	3074
3992	4087	4356
297	398	434
3471	306	359
2749	2510	2691
2091	3807	4083
3515	0	642
2985	0	3645
3305	0	339
1815	2645	2870
1979	2870	3088
3127	111	153
3962	3876	4136
1666	156	208
2747	3065	3265
4111	804	904
364	864	968
166	3053	3251
3000	0	318
