# The phyletic profiles are given as one OMA Group per row, starting
# with a group identifier, followed by a presents/absents indicator
# (i.e. 0 := absent, 1: present) per species in the group as columns.
# The first row contains the species for each column.
Group	Bovismorbificans_CVM_30176	ECOLI	SALTY
OMA00001	1	0	1
OMA00002	1	0	1
OMA00003	1	0	1
OMA00004	1	1	1
OMA00005	1	0	1
OMA00006	1	1	1
OMA00007	1	1	1
OMA00008	1	1	1
OMA00009	1	1	1
OMA00010	1	0	1
OMA00011	1	1	1
OMA00012	1	1	1
OMA00013	1	1	1
OMA00014	1	1	1
OMA00015	1	1	1
OMA00016	1	1	1
OMA00017	1	1	1
OMA00018	1	1	1
OMA00019	1	1	1
OMA00020	1	1	1
OMA00021	1	1	1
OMA00022	1	1	1
OMA00023	1	1	1
OMA00024	1	0	1
OMA00025	1	1	1
OMA00026	1	1	1
OMA00027	1	1	1
OMA00028	1	1	1
OMA00029	1	1	1
OMA00030	1	1	1
OMA00031	0	1	1
OMA00032	1	1	1
OMA00033	1	1	1
OMA00034	1	0	1
OMA00035	1	1	1
OMA00036	1	1	1
OMA00037	1	1	1
OMA00038	1	1	1
OMA00039	1	1	1
OMA00040	1	0	1
OMA00041	1	1	1
OMA00042	1	1	1
OMA00043	1	1	1
OMA00044	1	0	1
OMA00045	1	0	1
OMA00046	1	1	1
OMA00047	0	1	1
OMA00048	1	0	1
OMA00049	1	1	1
OMA00050	1	1	1
OMA00051	1	1	1
OMA00052	1	1	1
OMA00053	1	1	1
OMA00054	1	1	1
OMA00055	1	1	1
OMA00056	1	1	1
OMA00057	1	1	1
OMA00058	1	1	1
OMA00059	1	1	1
OMA00060	1	1	1
OMA00061	1	0	1
OMA00062	1	0	1
OMA00063	1	1	1
OMA00064	1	1	1
OMA00065	1	1	1
OMA00066	1	1	1
OMA00067	1	0	1
OMA00068	1	1	1
OMA00069	1	0	1
OMA00070	1	1	1
OMA00071	1	1	1
OMA00072	1	1	1
OMA00073	1	1	1
OMA00074	1	1	1
OMA00075	1	1	1
OMA00076	1	1	1
OMA00077	1	1	1
OMA00078	1	1	1
OMA00079	1	1	1
OMA00080	1	1	1
OMA00081	1	1	1
OMA00082	1	0	1
OMA00083	1	1	1
OMA00084	1	1	1
OMA00085	1	1	1
OMA00086	1	1	1
OMA00087	1	1	1
OMA00088	1	1	1
OMA00089	1	1	1
OMA00090	1	1	1
OMA00091	1	1	1
OMA00092	1	1	1
OMA00093	1	1	1
OMA00094	1	1	1
OMA00095	1	1	1
OMA00096	1	1	1
OMA00097	1	1	1
OMA00098	1	1	1
OMA00099	1	1	1
OMA00100	1	0	1
OMA00101	1	1	1
OMA00102	1	1	1
OMA00103	1	1	1
OMA00104	1	1	1
OMA00105	1	0	1
OMA00106	1	1	1
OMA00107	1	0	1
OMA00108	1	1	1
OMA00109	1	1	1
OMA00110	1	0	1
OMA00111	1	1	1
OMA00112	1	1	1
OMA00113	1	0	1
OMA00114	1	1	1
OMA00115	1	1	1
OMA00116	1	1	1
