# The phyletic profiles are given as one HOG (at its root level)
# per row, starting with a group identifier, followed by the number
# of entries per species in the group as columns. The first row
# contains the species for each column.
Group	Bovismorbificans_CVM_30176	ECOLI	SALTY
HOG00001	1	0	1
HOG00002	1	0	1
HOG00003	1	0	1
HOG00004	1	0	1
HOG00005	1	0	1
HOG00006	1	0	1
HOG00007	1	0	1
HOG00008	1	0	1
HOG00009	1	0	1
HOG00010	1	0	1
HOG00011	1	0	1
HOG00012	1	0	1
HOG00013	1	0	1
HOG00014	1	0	1
HOG00015	1	0	1
HOG00016	1	0	1
HOG00017	1	0	1
HOG00018	1	0	1
HOG00019	1	0	1
HOG00020	1	0	1
HOG00021	1	0	2
HOG00022	1	0	1
HOG00023	1	0	1
HOG00024	1	0	1
HOG00025	1	0	1
HOG00026	1	0	1
HOG00027	1	0	1
HOG00028	1	0	1
HOG00029	1	0	1
HOG00030	1	0	1
HOG00031	1	0	1
HOG00032	1	0	1
HOG00033	1	0	1
HOG00034	1	0	1
HOG00035	1	0	1
HOG00036	1	0	1
HOG00037	1	0	1
HOG00038	1	0	1
HOG00039	1	0	1
HOG00040	1	0	1
HOG00041	1	0	1
HOG00042	1	0	1
HOG00043	1	0	1
HOG00044	1	0	1
HOG00045	1	0	1
HOG00046	1	0	1
HOG00047	1	0	1
HOG00048	1	0	1
HOG00049	1	0	1
HOG00050	1	0	1
HOG00051	1	0	1
HOG00052	1	0	1
HOG00053	1	0	1
HOG00054	1	0	1
HOG00055	1	0	1
HOG00056	1	0	1
HOG00057	1	0	1
HOG00058	1	0	3
HOG00059	1	0	1
HOG00060	1	0	1
HOG00061	1	0	1
HOG00062	1	0	1
HOG00063	1	0	1
HOG00064	1	0	1
HOG00065	1	0	1
HOG00066	1	0	1
HOG00067	1	0	1
HOG00068	1	0	1
HOG00069	1	0	1
HOG00070	1	0	1
HOG00071	1	0	1
HOG00072	1	0	1
HOG00073	1	0	1
HOG00074	1	0	1
HOG00075	1	0	1
HOG00076	1	0	1
HOG00077	1	0	1
HOG00078	1	0	1
HOG00079	2	0	1
HOG00080	1	0	1
HOG00081	1	0	1
HOG00082	1	0	1
HOG00083	1	0	1
HOG00084	1	0	1
HOG00085	1	0	1
HOG00086	1	0	1
HOG00087	1	0	1
HOG00088	1	0	1
HOG00089	1	0	1
HOG00090	1	0	1
HOG00091	1	0	1
HOG00092	1	0	1
HOG00093	1	0	1
HOG00094	1	0	1
HOG00095	1	0	1
HOG00096	1	0	1
HOG00097	1	0	1
HOG00098	1	0	1
HOG00099	1	0	1
HOG00100	1	0	1
HOG00101	1	0	1
HOG00102	1	0	1
HOG00103	1	0	1
HOG00104	1	0	1
HOG00105	1	0	1
HOG00106	1	0	1
HOG00107	1	0	1
HOG00108	1	0	1
HOG00109	1	0	1
HOG00110	1	0	1
HOG00111	1	0	1
HOG00112	1	0	1
HOG00113	1	0	1
HOG00114	1	0	1
HOG00115	1	0	1
HOG00116	1	0	1
HOG00117	1	0	1
HOG00118	1	0	1
